R,Phi
1.00,0.000
1.16,626.9
1.33,662.5
1.51,643.2
1.71,605.9
1.92,554.4
2.15,499.3
2.40,442.0
2.67,387.8
2.97,335.9
3.29,288.2
3.64,245.3
4.02,206.8
4.42,173.1
4.88,143.8
5.37,118.4
5.90,96.91
6.47,79.03
7.09,64.20
7.76,51.97
8.48,42.00
9.26,33.86
10.1,27.24
11.0,21.90
12.0,17.58
13.0,14.17
14.1,11.48
15.3,9.266
16.6,7.460
18.0,5.995
19.5,4.832
21.1,3.894
22.8,3.151
24.7,2.538
26.7,2.040
28.8,1.650
31.1,1.335
33.5,1.082
36.1,0.8791
38.9,0.7132
41.9,0.5793
45.1,0.4716
48.5,0.3839
52.2,0.3128
56.1,0.2549
60.3,0.2080
64.8,0.1701
69.7,0.1393
74.9,0.1132
80.5,0.09263
86.5,0.07530
93.0,0.06146
100.0,0.05026
108.0,0.04085
116.0,0.03294
125.0,0.02698
135.0,0.02174
147.0,0.01727
160.0,0.01358
175.0,0.01065
192.0,0.008212
211.0,0.006299
233.0,0.004793
259.0,0.003605
291.0,0.002647
330.0,0.001884
379.0,0.001288
441.0,0.0008695
525.0,0.0005545
643.0,0.0003357
822.0,0.0001860
1130.0,0.00008571
1800.0,0.00002933
